Task,Issue,Addressed by,Complete?,Notes,Slack link
Pub Tab,,Alvaro,Yes,,https://cgiar-alliance.slack.com/archives/C06TU1K1Y1Y/p1713955920399439
Soils.Out Tab,Malformed column names,Charity,,,https://cgiar-alliance.slack.com/archives/C06TU1K1Y1Y/p1714630867194619
Soils.Out Tab,Only one soil depth,Charity,,,
Soils.Out Tab,Duplicate soil variable specified,Charity,,,
Soils.Out Tab,Duplicate rows for Site x Soil depths,Charity,,,
Planting Tab,P.Level.Name missing,Alvaro,,,https://cgiar-alliance.slack.com/archives/C06TU1K1Y1Y/p1714996025528139
Planting Tab,Planting Methods,Alvaro,,,
Plant.Out tab,missing formula,Jabesh,,,https://cgiar-alliance.slack.com/archives/C06TU1K1Y1Y/p1715158114858629
Sites tab,site_missing_fields_errors.csv,Charity,,,
Sites.Out Tab,site_structure_errors.csv,Charity,,,
Expd Tab,expd_other_errors.csv,Charity,,,
Expd.Out Tab, expd_structure_errors.csv,Charity,,,
Chems Tabs, chem_other_errors.csv,Charity,,,
Residues Tab, residues_other_errors.csv,Charity,,,
Fertilizer Tab,fert_other_errors.csv,Charity,,,
Fertilizer Tab,fert_Structure_errors.csv,Charity,,,
