value,B.Code,table,field,table_alt,field_alt,master_tab,C.Type,issue_addressed,addressed_by_whom,notes
%,JO0175,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
Acidulated,NN0023,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Applied to Soil,AC0023/AC0037,Chems.Out,C.App.Method,,,lookup_levels,,FALSE,"",""
As cover,AC0026,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Broadcast,NN0434/NN0455,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Calcinated,CJ0187,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Deep placement,NM0124,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Dollop,NN0457,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Granular,AC0072/JO0050/AC0110,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Hill application,NM0084,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Hill placement,LM0194,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Kg/ha,NN0533,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
Lateral Furrow,AC0158,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Mixer,CJ0087,Chems.Out,C.Mechanization,Fert.Out,F.Mechanization,lookup_levels,,FALSE,"",""
N,AC0053,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
NBPT (urea inhibitor),CJ0071,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Other,JO0070,Fert.Method,F.Fate,Res.Method,M.Fate,lookup_levels,,FALSE,"",""
Polymer coated,CJ0071,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Ridge Applied,NM0028,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Root dipping,AC0172,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Sachets,JS0411,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
Spot application,CJ0146,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Spraying,CJ0129,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Strip application,NM0084,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Surface-banded,AC0024,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Top dressing,AC0014/AC0015/AC0017/AC0018/AC0020/AC0022/JO0016.1/JO0016.2/AC0030.1/AC0030.2,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
Unspecified,JO0104,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
Water Diluted,NM0084/NN0484,Fert.Method,F.Physical,,,lookup_levels,,FALSE,"",""
g a.i./ha,NM0020,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
g/100kg seed,NM0022/NM0037/JO0212,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
g/bunch,NN0551,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
g/ha,JO0075,Chems.AI,C.AI.Unit,Chems.Out,C.AI.Unit,lookup_levels,,FALSE,"",""
g/hole,NM0116,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
g/kg seed,SP0037,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
g/l ai,NN0432,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
g/m,AC0023/JO0021,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
kg,NM0071,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
kg/feddan,NM0132,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
kg/kg seed,NM0068,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
kg/m,AC0023,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
kg/m3,CJ0103,Fert.Comp,F.K.Unit,Soil.Out,Soil.K.Unit,lookup_levels,,FALSE,"",""
kg/m3,CJ0103,Fert.Comp,F.N.Unit,Soil.Out,Soil.N.Unit,lookup_levels,,FALSE,"",""
kg/m3,CJ0103,Fert.Comp,F.P.Unit,Soil.Out,Soil.N.Unit,lookup_levels,,FALSE,"",""
kg/seed,NN0435,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
l/plant,JO0021,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
mL/kg Seed,NM0062,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
mL/kg seed,SP0037,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
mM,JO0199,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
mg/L,SP0065,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
mg/dm3,NM0067/NN0429,Fert.Comp,F.K.Unit,Soil.Out,Soil.K.Unit,lookup_levels,,FALSE,"",""
mg/ha,JO0181,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
mg/l,NM0125,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
ml/1000 seeds,AC0115,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
ml/15l H2O,NM0039,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
ml/20l H2O,NM0039,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
ml/kg,CJ0061/CJ0085/JO0087/CJ0101/CJ0102/CJ0106,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
ml/kg seeds,AC0115,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
ml/m2,CJ0174,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
ml/plant,NM0019,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
ppm,CJ0165,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
ppm/feddan,NM0132,Fert.Method,F.Unit,Fert.Out,F.Unit,lookup_levels,,FALSE,"",""
spores/g,JO0186,Chems.Out,C.Unit,,,lookup_levels,,FALSE,"",""
spot application,NN0463,Fert.Method,F.Method,,,lookup_levels,,FALSE,"",""
