B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes,T.Practice
JO0084,"Experimental Station of the Embrapa Coastal Tablelands, Umbau ́ba",PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"","",
NN0162.2,1947-03-01,PD.Out,PD.Date.Start,Date not between 1950-01-01 & 2023-12-01,FALSE,Alvaro,This is fine,
NN0162.2,1947-03-31,PD.Out,PD.Date.End,Date not between 1950-01-01 & 2023-12-01,FALSE,Alvaro,This is fine,
NN0164,1947-03-01,PD.Out,PD.Date.Start,Date not between 1950-01-01 & 2023-12-01,FALSE,Alvaro,This is fine,
NN0164,1947-03-31,PD.Out,PD.Date.End,Date not between 1950-01-01 & 2023-12-01,FALSE,Alvaro,This is fine,
NN0431,2013/2014,PD.Out,Time,A Time used does not match the Time tab.,FALSE,"","",
NN0533,Bako./Hawassa.,PD.Out,Site.ID,A Site.ID used does not match the Site tab.,FALSE,"","",
NN0549,9999-01-01,PD.Out,PD.Date.Start,Date not between 1950-01-01 & 2023-12-01,FALSE,"","",
NN0549,9999-12-01,PD.Out,PD.Date.End,Date not between 1950-01-01 & 2023-12-01,FALSE,"","",
SA0008,1988-W/2008-S,PD.Out,Time,A Time used does not match the Time tab.,FALSE,"","",
SP0024,2004,PD.Out,Time,A Time used does not match the Time tab.,FALSE,"","",
